valid_time,u10,v10,t2m,tp,latitude,longitude
2020-01-08 05:00:00,-2.0844269,-2.1342926,304.00726,0.000116825104,10.75,106.25
2020-01-08 06:00:00,-2.345169,-1.8525238,306.22327,1.5258789e-05,10.75,106.25
2020-01-08 07:00:00,-2.4720764,-1.5269012,306.40744,1.859665e-05,10.75,106.25
2020-01-08 08:00:00,-2.3630066,-1.542099,306.13074,6.198883e-06,10.75,106.25
2020-01-08 09:00:00,-1.5722351,-1.6129761,305.54254,0.0,10.75,106.25
2020-01-08 10:00:00,-0.6799774,-0.7001953,303.53186,0.0,10.75,106.25
2020-01-08 11:00:00,-0.5583954,-0.31602478,302.02197,0.0,10.75,106.25
2020-01-08 12:00:00,-0.24887085,1.4519653,301.03705,0.0,10.75,106.25
2020-01-08 13:00:00,-0.34240723,2.0397644,300.70862,0.0,10.75,106.25
2020-01-08 14:00:00,-0.7072449,2.8964386,300.26517,0.0,10.75,106.25
2020-01-08 15:00:00,-0.72569275,2.805725,299.77118,0.0,10.75,106.25
2020-01-08 16:00:00,-0.4502411,2.1281586,299.16757,0.0,10.75,106.25
2020-01-08 17:00:00,-0.22746277,1.465271,298.51062,0.0,10.75,106.25
2020-01-08 18:00:00,-0.2695923,1.4219055,297.83942,0.0,10.75,106.25
2020-01-08 19:00:00,-0.45118713,1.0955505,297.73083,0.0,10.75,106.25
2020-01-08 20:00:00,-0.6357727,-0.07167053,296.95386,0.0,10.75,106.25
2020-01-08 21:00:00,-0.39956665,-0.7102051,297.5691,0.0,10.75,106.25
2020-01-08 22:00:00,-0.139328,-1.1275635,296.71695,0.0,10.75,106.25
2020-01-08 23:00:00,-0.040145874,-1.2545166,296.50186,0.0,10.75,106.25
2020-01-09 00:00:00,0.24572754,-1.4202118,297.73944,0.0,10.75,106.25
2020-01-09 01:00:00,0.25047302,-1.1581573,298.59973,0.0,10.75,106.25
2020-01-09 02:00:00,0.15919495,-1.0846558,301.62314,0.0,10.75,106.25
2020-01-09 03:00:00,0.4123993,-0.91448975,301.8883,0.0,10.75,106.25
2020-01-09 04:00:00,0.5254364,-0.5708313,303.2536,0.0,10.75,106.25
2020-01-09 05:00:00,0.22795105,-0.047973633,304.89404,1.9073486e-06,10.75,106.25
2020-01-09 06:00:00,-0.2574463,0.51856995,305.766,1.859665e-05,10.75,106.25
2020-01-09 07:00:00,-0.52856445,0.9658966,305.86572,0.0,10.75,106.25
2020-01-09 08:00:00,-0.82229614,1.1485901,305.32593,0.0,10.75,106.25
2020-01-09 09:00:00,-0.6593933,1.5180969,305.44574,0.0,10.75,106.25
2020-01-09 10:00:00,-0.47216797,1.5563202,304.05725,0.0,10.75,106.25
2020-01-09 11:00:00,-0.8000488,2.490921,302.97034,0.0,10.75,106.25
2020-01-09 12:00:00,-0.9508972,3.14888,301.1347,0.0,10.75,106.25
2020-01-09 13:00:00,-1.053833,2.9928741,300.42212,0.0,10.75,106.25
2020-01-09 14:00:00,-0.8903961,2.4193115,299.66254,0.0,10.75,106.25
2020-01-09 15:00:00,-0.4713745,1.8358765,299.33374,0.0,10.75,106.25
2020-01-09 16:00:00,-0.2507782,1.5325928,299.01562,0.0,10.75,106.25
2020-01-09 17:00:00,0.13653564,1.5546417,298.69617,0.0,10.75,106.25
2020-01-09 18:00:00,0.67689514,1.4887085,298.36707,0.0,10.75,106.25
2020-01-09 19:00:00,0.9255066,1.4619293,298.12592,0.0,10.75,106.25
2020-01-09 20:00:00,0.9680176,1.4142303,297.51654,0.0,10.75,106.25
2020-01-09 21:00:00,1.0601807,1.0940704,297.74902,0.0,10.75,106.25
2020-01-09 22:00:00,0.87194824,0.7516937,296.88464,0.0,10.75,106.25
2020-01-09 23:00:00,0.7584839,-0.004211426,296.62497,0.0,10.75,106.25
2020-01-10 00:00:00,0.37602234,-0.46365356,297.6001,0.0,10.75,106.25
2020-01-10 01:00:00,0.20774841,-0.6629181,298.41718,0.0,10.75,106.25
2020-01-10 02:00:00,-0.41281128,-0.90441895,300.55896,0.0,10.75,106.25
2020-01-10 03:00:00,-0.5149994,-1.1756287,301.84152,0.0,10.75,106.25
2020-01-10 04:00:00,-0.15245056,-1.502121,302.59106,0.0,10.75,106.25
2020-01-10 05:00:00,0.44877625,-1.9659424,303.6715,2.9087067e-05,10.75,106.25
2020-01-10 06:00:00,0.05545044,-1.9652557,304.09814,8.583069e-06,10.75,106.25
2020-01-10 07:00:00,-0.31199646,-1.791565,304.52527,9.536743e-07,10.75,106.25
2020-01-10 08:00:00,-0.6874542,-1.6757202,304.47577,1.9073486e-06,10.75,106.25
2020-01-10 09:00:00,-0.9447937,-1.5835876,305.5099,0.0,10.75,106.25
2020-01-10 10:00:00,-0.6438904,-0.89004517,303.75482,0.0,10.75,106.25
2020-01-10 11:00:00,-1.2987366,-0.4523468,301.84143,0.0,10.75,106.25
2020-01-10 12:00:00,-1.0778809,1.3716125,302.67758,0.0,10.75,106.25
2020-01-10 13:00:00,-1.216568,2.552246,301.07742,0.0,10.75,106.25
2020-01-10 14:00:00,-1.787384,3.3367615,300.72058,0.0,10.75,106.25
2020-01-10 15:00:00,-1.6230164,3.2596588,299.29898,0.0,10.75,106.25
2020-01-10 16:00:00,-1.0713348,2.7654877,298.7168,0.0,10.75,106.25
2020-01-10 17:00:00,-0.2665558,2.3497772,298.2326,0.0,10.75,106.25
2020-01-10 18:00:00,0.7707977,2.101471,297.7024,0.0,10.75,106.25
2020-01-10 19:00:00,1.6263885,2.1312714,297.6236,0.0,10.75,106.25
2020-01-10 20:00:00,1.8306732,2.275238,297.3161,0.0,10.75,106.25
2020-01-10 21:00:00,1.7697296,2.2754211,298.22394,0.0,10.75,106.25
2020-01-10 22:00:00,1.1633759,2.2364502,297.32343,0.0,10.75,106.25
2020-01-10 23:00:00,1.2334747,1.8025818,297.3036,0.0,10.75,106.25
2020-01-11 00:00:00,1.3989868,1.5649414,297.80188,0.0,10.75,106.25
2020-01-11 01:00:00,1.3469849,1.7741241,298.5209,0.0,10.75,106.25
2020-01-11 02:00:00,0.6832733,2.1129608,301.2262,0.0,10.75,106.25
2020-01-11 03:00:00,0.96565247,1.4744873,301.55417,0.0,10.75,106.25
2020-01-11 04:00:00,1.3618469,1.1445923,302.16263,1.4305115e-06,10.75,106.25
2020-01-11 05:00:00,1.7366028,0.9589691,303.5242,0.00018262863,10.75,106.25
2020-01-11 06:00:00,1.8925476,0.49447632,303.64252,0.00011444092,10.75,106.25
2020-01-11 07:00:00,1.9956207,0.05697632,303.8034,9.536743e-07,10.75,106.25
2020-01-11 08:00:00,1.766571,-0.30575562,304.22617,1.001358e-05,10.75,106.25
2020-01-11 09:00:00,1.5736389,-0.46669006,303.9567,1.04904175e-05,10.75,106.25
2020-01-11 10:00:00,1.1034698,-0.22702026,302.35608,5.2452087e-06,10.75,106.25
2020-01-11 11:00:00,0.6753845,0.8714905,301.32904,0.0,10.75,106.25
2020-01-11 12:00:00,0.5730896,1.4542999,300.32956,0.0,10.75,106.25
2020-01-11 13:00:00,0.50027466,1.3086243,299.87857,0.0,10.75,106.25
2020-01-11 14:00:00,0.23144531,1.6036072,299.80762,0.0,10.75,106.25
2020-01-11 15:00:00,-0.17860413,2.0587463,299.55896,0.0,10.75,106.25
2020-01-11 16:00:00,-0.3618164,2.3594513,299.5217,2.193451e-05,10.75,106.25
2020-01-11 17:00:00,-0.13848877,2.0904236,299.08813,7.1525574e-05,10.75,106.25
2020-01-11 18:00:00,0.4169159,1.7249603,298.5848,7.1525574e-06,10.75,106.25
2020-01-11 19:00:00,0.59114075,1.6057587,298.77826,1.9073486e-06,10.75,106.25
2020-01-11 20:00:00,0.6534729,1.4499664,298.58896,0.0,10.75,106.25
2020-01-11 21:00:00,0.8140106,1.1275024,298.36978,0.0,10.75,106.25
2020-01-11 22:00:00,0.5420685,1.0115662,298.6836,9.536743e-07,10.75,106.25
2020-01-11 23:00:00,0.68562317,0.79074097,298.19,1.0967255e-05,10.75,106.25
2020-01-12 00:00:00,0.42938232,0.24864197,298.64368,1.8119812e-05,10.75,106.25
2020-01-12 01:00:00,0.3647766,0.30744934,298.899,5.00679e-05,10.75,106.25
2020-01-12 02:00:00,0.21308899,0.4957428,300.33252,2.336502e-05,10.75,106.25
2020-01-12 03:00:00,0.2578125,0.36331177,300.8128,1.335144e-05,10.75,106.25
2020-01-12 04:00:00,0.40681458,-0.030578613,301.57578,1.859665e-05,10.75,106.25
2020-01-12 05:00:00,0.6826019,-0.5369873,302.33716,1.5735626e-05,10.75,106.25
2020-01-12 06:00:00,0.8050537,-0.7909851,303.57874,2.7179718e-05,10.75,106.25
2020-01-12 07:00:00,0.5121765,-0.88334656,303.69635,7.915497e-05,10.75,106.25
2020-01-12 08:00:00,0.4561615,-1.1275024,303.23468,6.67572e-06,10.75,106.25
2020-01-12 09:00:00,0.20544434,-1.2696228,303.02835,1.4781952e-05,10.75,106.25
